name,handedness,height,weight,avg,HR,BMI
Don Baylor,R,73,190,0.26,338,25.0647401
John Vukovich,R,73,187,0.161,6,24.66898105
Danny Thompson,R,72,183,0.248,15,24.81655093
Joe Simpson,L,75,175,0.242,9,21.87111111
Bill Fahey,L,72,200,0.241,7,27.12191358
Doug Camilli,R,71,195,0.199,18,27.19400913
Bernie Allen,L,72,175,0.239,73,23.73167438
Bruce Bochy,R,75,205,0.239,26,25.62044444
Claudell Washington,L,72,190,0.278,164,25.7658179
John Donaldson,L,71,160,0.238,4,22.31303313
John Mayberry,L,75,215,0.253,255,26.87022222
Ken Reitz,R,72,180,0.26,68,24.40972222
Amos Otis,R,71,165,0.277,193,23.01031541
Gene Alley,R,70,160,0.254,55,22.95510204
Ted Sizemore,R,70,165,0.262,23,23.67244898
Dan Briggs,L,72,180,0.195,12,24.40972222
Doug Flynn,R,71,165,0.238,7,23.01031541
Ken Holtzman,R,74,175,0.163,2,22.46621622
Pete Ward,L,73,185,0.254,98,24.40514168
Kevin Bell,R,72,195,0.222,13,26.44386574
Tom Nieto,R,73,193,0.205,5,25.46049916
Duke Sims,L,74,197,0.239,100,25.29054054
Larvell Blanks,R,68,167,0.253,20,25.38948962
Mike Davis,L,74,175,0.259,91,22.46621622
Jerry Reuss,L,77,200,0.167,1,23.71394839
Steve Yeager,R,72,190,0.228,102,25.7658179
Danny Goodwin,L,73,195,0.236,13,25.72433853
Bud Harrelson,B,71,160,0.236,7,22.31303313
Bob Knepper,L,75,195,0.137,6,24.37066667
Mickey Rivers,L,70,165,0.295,61,23.67244898
Jim Northrup,L,75,190,0.267,153,23.74577778
John Hale,L,74,195,0.201,14,25.03378378
Pedro Garcia,R,70,175,0.22,37,25.10714286
Carl Yastrzemski,L,71,175,0.285,452,24.40487998
Derrel Thomas,B,72,160,0.249,43,21.69753086
Art Howe,R,74,190,0.26,43,24.39189189
Ike Brown,R,72,190,0.256,20,25.7658179
Howie Goss,R,76,204,0.216,11,24.82894737
Glenn Borgmann,R,76,210,0.229,16,25.55921053
Lamar Johnson,R,74,215,0.287,64,27.60135135
Julio Gonzalez,R,71,162,0.235,4,22.59194604
Bobby Klaus,R,70,170,0.208,6,24.38979592
Manny Sanguillen,R,72,193,0.296,65,26.1726466
Gates Brown,L,71,220,0.257,84,30.68042055
Johnny Ray,B,71,170,0.29,53,23.7075977
Jesus Alou,R,74,190,0.28,32,24.39189189
Ken Landreaux,L,70,165,0.268,91,23.67244898
Enos Cabell,R,76,170,0.277,60,20.69078947
Billy North,B,71,185,0.261,20,25.79944455
Juan Beniquez,R,71,150,0.274,79,20.91846856
Frank Fernandez,R,72,185,0.199,39,25.08777006
Bombo Rivera,R,70,187,0.265,10,26.82877551
Steve Brye,R,72,190,0.258,30,25.7658179
Ron Jackson,R,72,200,0.259,56,27.12191358
Roger Metzger,B,72,165,0.231,5,22.3755787
Rufino Linares,R,72,170,0.27,11,23.05362654
Ray Webster,L,72,185,0.244,17,25.08777006
Bob Kearney,R,72,190,0.233,27,25.7658179
Fergie Jenkins,R,77,205,0.165,13,24.3067971
Dick Dietz,R,73,195,0.261,66,25.72433853
Ted Cox,R,75,195,0.245,10,24.37066667
Bobby Mitchell,L,70,170,0.243,3,24.38979592
Bobby Mitchell,R,75,185,0.235,21,23.12088889
Barry Evans,R,73,180,0.251,2,23.74554325
Mickey Brantley,R,70,180,0.259,32,25.8244898
Al Gallagher,R,72,180,0.263,11,24.40972222
Hector Cruz,R,71,170,0.225,39,23.7075977
Fred Norman,B,68,155,0.125,0,23.56509516
Woody Woodward,R,74,180,0.236,1,23.10810811
Ted Martinez,R,72,165,0.24,7,22.3755787
Jim Anderson,R,72,170,0.218,13,23.05362654
Lenn Sakata,R,69,160,0.23,25,23.6252888
Dave Duncan,R,74,190,0.214,109,24.39189189
Randy Jones,R,72,178,0.132,0,24.13850309
Dick Billings,R,73,195,0.227,16,25.72433853
Bruce Bochte,L,75,195,0.282,100,24.37066667
Bernie Carbo,L,71,173,0.264,96,24.12596707
Vic Davalillo,L,67,150,0.279,36,23.49075518
Burt Hooton,R,73,210,0.123,4,27.7031338
Fernando Gonzalez,R,70,165,0.235,17,23.67244898
Jim Sundberg,R,72,190,0.248,95,25.7658179
Andy Kosco,R,75,205,0.236,73,25.62044444
Steve Huntz,B,73,204,0.206,16,26.91161569
Lenny Faedo,R,72,170,0.251,5,23.05362654
John Lowenstein,L,72,175,0.253,116,23.73167438
Don Kessinger,B,73,170,0.252,14,22.42634641
Joe Hague,L,72,195,0.239,40,26.44386574
Bake McBride,L,74,190,0.299,63,24.39189189
Dick Davis,R,75,190,0.265,27,23.74577778
Richie Scheinblum,B,73,180,0.263,13,23.74554325
Ed Herrmann,L,73,195,0.24,80,25.72433853
Bob Molinaro,L,72,190,0.264,14,25.7658179
Mike Hegan,L,73,188,0.242,53,24.80090073
Mike Diaz,R,74,195,0.247,31,25.03378378
Tim Foli,R,72,179,0.251,25,24.27411265
Alan Knicely,R,72,190,0.213,12,25.7658179
Tim Laudner,R,75,212,0.225,77,26.49528889
Jose Morales,R,71,187,0.287,26,26.07835747
Juan Marichal,R,72,185,0.165,4,25.08777006
Vida Blue,B,72,189,0.104,4,25.63020833
Stan Papi,R,72,170,0.218,7,23.05362654
Rob Wilfong,L,73,180,0.248,39,23.74554325
Steve Henderson,R,74,190,0.28,68,24.39189189
Rob Picciolo,R,74,185,0.234,17,23.75
Roberto Pena,R,68,170,0.245,13,25.84558824
Bob Dernier,R,72,160,0.255,23,21.69753086
Bill Melton,R,74,200,0.253,160,25.67567568
Albert Hall,B,71,155,0.251,5,21.61575084
Barbaro Garbey,R,70,170,0.267,11,24.38979592
John Milner,L,72,185,0.249,131,25.08777006
Rich Reese,L,75,185,0.253,52,23.12088889
Chris Bando,B,72,195,0.227,27,26.44386574
Bill Buckner,L,72,185,0.289,174,25.08777006
Jack Hiatt,R,74,190,0.251,22,24.39189189
Nelson Mathews,R,76,195,0.223,22,23.73355263
Larry Lintz,B,69,150,0.227,0,22.14870825
Ron Theobald,R,68,165,0.248,2,25.08542388
Rafael Santana,R,73,165,0.246,13,21.76674798
Jerry Hairston,B,70,170,0.258,30,24.38979592
Tommie Aaron,R,75,190,0.229,13,23.74577778
Steve Dillard,R,73,180,0.243,13,23.74554325
George Scott,R,74,200,0.268,271,25.67567568
Ken Walters,R,73,180,0.231,11,23.74554325
Gorman Thomas,R,74,210,0.225,268,26.95945946
Paul Dade,R,73,185,0.27,10,24.40514168
Darrell Porter,L,72,193,0.247,188,26.1726466
Tim Johnson,L,73,170,0.223,0,22.42634641
Fred Stanley,R,70,165,0.216,10,23.67244898
Larry Bowa,B,70,155,0.26,15,22.2377551
Tim Corcoran,L,71,175,0.27,12,24.40487998
Jim Spencer,L,74,195,0.25,146,25.03378378
Pete LaCock,L,74,200,0.257,27,25.67567568
Carl Morton,R,72,200,0.156,7,27.12191358
Gary Gray,R,72,187,0.24,24,25.3589892
Matty Alou,L,69,160,0.307,31,23.6252888
Jim Dwyer,L,70,165,0.26,77,23.67244898
Dalton Jones,L,73,180,0.235,41,23.74554325
Rennie Stennett,R,71,160,0.274,41,22.31303313
Jerry May,R,74,190,0.234,15,24.39189189
Rich McKinney,R,71,185,0.225,20,25.79944455
Clint Hurdle,L,75,195,0.259,32,24.37066667
Mike Andrews,R,75,195,0.258,66,24.37066667
Bobby Clark,R,72,190,0.239,19,25.7658179
Cliff Johnson,R,76,215,0.258,196,26.16776316
Donn Clendenon,R,76,209,0.274,159,25.4375
Charlie James,R,73,195,0.255,29,25.72433853
Bob Horner,R,73,195,0.277,218,25.72433853
Tom Veryzer,R,73,175,0.241,14,23.08594483
George Smith,R,70,170,0.205,9,24.38979592
Jim Essian,R,74,195,0.244,33,25.03378378
Onix Concepcion,R,66,160,0.239,3,25.82185491
Boots Day,L,69,160,0.256,8,23.6252888
Brian Giles,R,73,165,0.228,10,21.76674798
Garry Maddox,R,75,175,0.285,117,21.87111111
Alex Trevino,R,70,165,0.249,23,23.67244898
Jim Price,R,72,192,0.214,18,26.03703704
Felix Millan,R,71,172,0.279,22,23.98651061
Steve Garvey,R,70,192,0.294,272,27.54612245
Don Mincher,L,75,205,0.249,200,25.62044444
Tony Cloninger,R,72,210,0.192,11,28.47800926
Jim Gosger,L,71,185,0.226,30,25.79944455
Chuck Harrison,R,70,185,0.238,17,26.54183673
Mike Ivie,R,75,205,0.269,81,25.62044444
Bob Veale,B,78,212,0.114,0,24.49638396
Marvell Wynne,L,71,175,0.247,40,24.40487998
Dusty Baker,R,74,183,0.278,242,23.49324324
Tucker Ashford,R,73,195,0.218,6,25.72433853
Ned Yost,R,73,190,0.212,16,25.0647401
Bob Stinson,B,71,180,0.25,33,25.10216227
Gaylord Perry,R,76,205,0.131,6,24.95065789
Dave Marshall,L,73,182,0.246,16,24.00938262
Mickey Hatcher,R,74,200,0.28,38,25.67567568
Roger Repoz,L,75,190,0.224,82,23.74577778
John Orsino,R,75,215,0.249,40,26.87022222
Johnny Briggs,L,73,190,0.253,139,25.0647401
Dave Hostetler,R,76,215,0.229,37,26.16776316
Bob Jones,L,74,195,0.221,20,25.03378378
Keith Hernandez,L,72,180,0.296,162,24.40972222
Dean Chance,R,75,200,0.066,0,24.99555556
Willie Upshaw,L,72,185,0.262,123,25.08777006
Dick Green,R,70,180,0.24,80,25.8244898
Dane Iorg,L,72,180,0.276,14,24.40972222
Richie Hebner,L,73,195,0.276,203,25.72433853
Fran Healy,R,77,220,0.25,20,26.08534323
Doc Edwards,R,74,215,0.238,15,27.60135135
Sandy Alomar,B,69,140,0.245,13,20.6721277
Joe Strain,R,70,169,0.25,1,24.24632653
Gene Richards,L,72,175,0.29,26,23.73167438
Buddy Bell,R,73,180,0.279,201,23.74554325
Al Woods,L,75,190,0.271,35,23.74577778
Rudy Law,L,73,165,0.271,18,21.76674798
Jody Davis,R,76,192,0.245,127,23.36842105
Mike Edwards,R,70,154,0.25,2,22.09428571
Deron Johnson,R,74,200,0.244,245,25.67567568
John Denny,R,75,185,0.17,0,23.12088889
Don Wert,R,70,162,0.242,77,23.24204082
Mike Fiore,L,72,175,0.227,13,23.73167438
Miguel Dilone,B,72,160,0.265,6,21.69753086
Greg Luzinski,R,73,220,0.276,307,29.02233064
Bobby Tolan,L,71,170,0.265,86,23.7075977
Ron Woods,R,70,168,0.233,26,24.10285714
Tony Horton,R,75,210,0.268,76,26.24533333
Randy Hundley,R,71,170,0.236,82,23.7075977
Jose Tartabull,L,71,165,0.261,2,23.01031541
Ben Oglivie,L,74,160,0.273,235,20.54054054
Bob Johnson,R,70,175,0.272,44,25.10714286
Don Buford,B,67,160,0.264,93,25.05680552
Duane Kuiper,L,72,175,0.271,1,23.73167438
Brant Alyea,R,75,215,0.247,38,26.87022222
Jerry Narron,L,75,205,0.211,21,25.62044444
Lou Johnson,R,71,170,0.258,48,23.7075977
Ken Retzer,L,72,185,0.264,14,25.08777006
Mike Brown,R,74,195,0.265,23,25.03378378
Greg Walker,L,75,205,0.26,113,25.62044444
Terry Harper,R,76,195,0.253,36,23.73355263
Jerry Royster,R,72,165,0.249,40,22.3755787
Barry Bonnell,R,75,190,0.272,56,23.74577778
Tom Seaver,R,73,195,0.154,12,25.72433853
Jerry Martin,R,73,195,0.251,85,25.72433853
Bill Stein,R,70,170,0.267,44,24.38979592
Joel Youngblood,R,72,180,0.265,80,24.40972222
Reggie Jackson,L,72,195,0.262,563,26.44386574
Sonny Jackson,L,69,150,0.251,7,22.14870825
Rodney Scott,B,72,160,0.236,3,21.69753086
Rich Coggins,L,68,170,0.265,12,25.84558824
Phil Gagliano,R,73,180,0.238,14,23.74554325
Jerry McNertney,R,72,180,0.237,27,24.40972222
Mitchell Page,L,74,205,0.266,72,26.31756757
Kiko Garcia,R,71,180,0.239,12,25.10216227
Larry Milbourne,B,72,161,0.254,11,21.83314043
Bill Sudakis,B,73,190,0.234,59,25.0647401
Domingo Ramos,R,70,154,0.24,8,22.09428571
Ron Oester,B,74,185,0.265,42,23.75
Glenn Adams,L,73,180,0.28,34,23.74554325
Joe Morgan,L,67,160,0.271,268,25.05680552
R.J. Reynolds,B,72,190,0.267,35,25.7658179
Lee Thomas,L,74,195,0.255,106,25.03378378
Ray Fosse,R,74,215,0.256,61,27.60135135
Paul Popovich,B,72,175,0.233,14,23.73167438
John Stephenson,L,71,180,0.216,12,25.10216227
Doug Clemens,L,72,180,0.229,12,24.40972222
Orlando Mercado,R,72,180,0.199,7,24.40972222
Charley Smith,R,73,170,0.239,69,22.42634641
Buddy Biancalana,B,71,160,0.205,6,22.31303313
Bob Uecker,R,73,190,0.2,14,25.0647401
